corner,wn_store,wp_store,wn_access,temp,vdd,polarity,qcrit_fC
tt,1.2e-07,2.8e-07,1.2e-07,125,1.1,1,1.16563e-14
tt,1.2e-07,2.8e-07,1.2e-07,125,1.1,0,7.71875e-15
tt,1.2e-07,2.8e-07,1.2e-07,125,1.15,1,1.16563e-14
tt,1.2e-07,2.8e-07,1.2e-07,125,1.15,0,7.71875e-15
tt,1.2e-07,2.8e-07,1.2e-07,125,1.2,1,1.16563e-14
tt,1.2e-07,2.8e-07,1.2e-07,125,1.2,0,7.71875e-15
tt,1.2e-07,3.2e-07,1.2e-07,-40,1,1,2.08437e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1,0,1.35312e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.05,1,2.08437e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.05,0,1.35312e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.1,1,2.08437e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.1,0,1.35312e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.15,1,2.08437e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.15,0,1.35312e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.2,1,2.08437e-14
tt,1.2e-07,3.2e-07,1.2e-07,-40,1.2,0,1.35312e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1,1,1.84063e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1,0,1.16563e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.05,1,1.84063e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.05,0,1.16563e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.1,1,1.84063e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.1,0,1.16563e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.15,1,1.84063e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.15,0,1.16563e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.2,1,1.84063e-14
tt,1.2e-07,3.2e-07,1.2e-07,0,1.2,0,1.16563e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1,1,1.70937e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1,0,1.07188e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.05,1,1.70937e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.05,0,1.07188e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.1,1,1.70937e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.1,0,1.07188e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.15,1,1.70937e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.15,0,1.07188e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.2,1,1.70937e-14
tt,1.2e-07,3.2e-07,1.2e-07,27,1.2,0,1.07188e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1,1,1.46563e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1,0,8.84375e-15
tt,1.2e-07,3.2e-07,1.2e-07,85,1.05,1,1.46563e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1.05,0,8.84375e-15
tt,1.2e-07,3.2e-07,1.2e-07,85,1.1,1,1.46563e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1.1,0,8.84375e-15
tt,1.2e-07,3.2e-07,1.2e-07,85,1.15,1,1.46563e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1.15,0,8.84375e-15
tt,1.2e-07,3.2e-07,1.2e-07,85,1.2,1,1.46563e-14
tt,1.2e-07,3.2e-07,1.2e-07,85,1.2,0,8.84375e-15
tt,1.2e-07,3.2e-07,1.2e-07,125,1,1,1.31563e-14
tt,1.2e-07,3.2e-07,1.2e-07,125,1,0,7.71875e-15
tt,1.2e-07,3.2e-07,1.2e-07,125,1.05,1,1.31563e-14
tt,1.2e-07,3.2e-07,1.2e-07,125,1.05,0,7.71875e-15
tt,1.2e-07,3.2e-07,1.2e-07,125,1.1,1,1.31563e-14
tt,1.2e-07,3.2e-07,1.2e-07,125,1.1,0,7.71875e-15
tt,1.2e-07,3.2e-07,1.2e-07,125,1.15,1,1.31563e-14
tt,1.2e-07,3.2e-07,1.2e-07,125,1.15,0,7.71875e-15
