V (V),Q vs QB (V),V (V),QB vs Q (V)
288.0E-3,1.100,1.100,288.0E-3
290.0E-3,1.100,1.100,290.0E-3
292.0E-3,1.100,1.100,292.0E-3
294.0E-3,1.099,1.099,294.0E-3
296.0E-3,1.099,1.099,296.0E-3
298.0E-3,1.099,1.099,298.0E-3
300.0E-3,1.099,1.099,300.0E-3
302.0E-3,1.099,1.099,302.0E-3
304.0E-3,1.099,1.099,304.0E-3
306.0E-3,1.099,1.099,306.0E-3
308.0E-3,1.099,1.099,308.0E-3
310.0E-3,1.099,1.099,310.0E-3
312.0E-3,1.099,1.099,312.0E-3
314.0E-3,1.099,1.099,314.0E-3
316.0E-3,1.099,1.099,316.0E-3
318.0E-3,1.099,1.099,318.0E-3
320.0E-3,1.099,1.099,320.0E-3
322.0E-3,1.099,1.099,322.0E-3
324.0E-3,1.099,1.099,324.0E-3
326.0E-3,1.099,1.099,326.0E-3
328.0E-3,1.099,1.099,328.0E-3
330.0E-3,1.099,1.099,330.0E-3
332.0E-3,1.099,1.099,332.0E-3
334.0E-3,1.098,1.098,334.0E-3
336.0E-3,1.098,1.098,336.0E-3
338.0E-3,1.098,1.098,338.0E-3
340.0E-3,1.098,1.098,340.0E-3
342.0E-3,1.098,1.098,342.0E-3
344.0E-3,1.098,1.098,344.0E-3
346.0E-3,1.098,1.098,346.0E-3
348.0E-3,1.098,1.098,348.0E-3
350.0E-3,1.098,1.098,350.0E-3
352.0E-3,1.097,1.097,352.0E-3
354.0E-3,1.097,1.097,354.0E-3
356.0E-3,1.097,1.097,356.0E-3
358.0E-3,1.097,1.097,358.0E-3
360.0E-3,1.097,1.097,360.0E-3
362.0E-3,1.097,1.097,362.0E-3
364.0E-3,1.097,1.097,364.0E-3
366.0E-3,1.096,1.096,366.0E-3
368.0E-3,1.096,1.096,368.0E-3
370.0E-3,1.096,1.096,370.0E-3
372.0E-3,1.096,1.096,372.0E-3
374.0E-3,1.096,1.096,374.0E-3
376.0E-3,1.095,1.095,376.0E-3
378.0E-3,1.095,1.095,378.0E-3
380.0E-3,1.095,1.095,380.0E-3
382.0E-3,1.094,1.094,382.0E-3
384.0E-3,1.094,1.094,384.0E-3
386.0E-3,1.094,1.094,386.0E-3
388.0E-3,1.094,1.094,388.0E-3
390.0E-3,1.093,1.093,390.0E-3
392.0E-3,1.093,1.093,392.0E-3
394.0E-3,1.092,1.092,394.0E-3
396.0E-3,1.092,1.092,396.0E-3
398.0E-3,1.092,1.092,398.0E-3
400.0E-3,1.091,1.091,400.0E-3
402.0E-3,1.091,1.091,402.0E-3
404.0E-3,1.090,1.090,404.0E-3
406.0E-3,1.090,1.090,406.0E-3
408.0E-3,1.089,1.089,408.0E-3
410.0E-3,1.089,1.089,410.0E-3
412.0E-3,1.088,1.088,412.0E-3
414.0E-3,1.087,1.087,414.0E-3
416.0E-3,1.087,1.087,416.0E-3
