wn_store,wp_store,wn_access,temp,leakage_power_W
2.4e-07,1.2e-07,1.2e-07,0,6.14721e-11
2.4e-07,1.2e-07,1.2e-07,27,7.10751e-11
2.4e-07,1.2e-07,1.2e-07,85,1.57229e-10
2.4e-07,1.2e-07,1.2e-07,125,3.42978e-10
2.4e-07,1.6e-07,1.2e-07,-40,6.42288e-11
2.4e-07,1.6e-07,1.2e-07,0,6.81843e-11
2.4e-07,1.6e-07,1.2e-07,27,7.77528e-11
2.4e-07,1.6e-07,1.2e-07,85,1.63724e-10
2.4e-07,1.6e-07,1.2e-07,125,3.49907e-10
2.4e-07,2e-07,1.2e-07,-40,7.09264e-11
2.4e-07,2e-07,1.2e-07,0,7.4942e-11
2.4e-07,2e-07,1.2e-07,27,8.46195e-11
2.4e-07,2e-07,1.2e-07,85,1.71906e-10
2.4e-07,2e-07,1.2e-07,125,3.61917e-10
2.4e-07,2.4e-07,1.2e-07,-40,7.76217e-11
2.4e-07,2.4e-07,1.2e-07,0,8.17148e-11
2.4e-07,2.4e-07,1.2e-07,27,9.15552e-11
2.4e-07,2.4e-07,1.2e-07,85,1.80723e-10
2.4e-07,2.4e-07,1.2e-07,125,3.75852e-10
2.4e-07,2.8e-07,1.2e-07,-40,8.43155e-11
2.4e-07,2.8e-07,1.2e-07,0,8.84944e-11
2.4e-07,2.8e-07,1.2e-07,27,9.85234e-11
2.4e-07,2.8e-07,1.2e-07,85,1.89843e-10
2.4e-07,2.8e-07,1.2e-07,125,3.9071e-10
2.4e-07,3.2e-07,1.2e-07,-40,9.095e-11
2.4e-07,3.2e-07,1.2e-07,0,9.52174e-11
2.4e-07,3.2e-07,1.2e-07,27,1.05451e-10
2.4e-07,3.2e-07,1.2e-07,85,1.99145e-10
2.4e-07,3.2e-07,1.2e-07,125,4.0634e-10
2.8e-07,1.2e-07,1.2e-07,-40,6.21017e-11
2.8e-07,1.2e-07,1.2e-07,0,6.6318e-11
2.8e-07,1.2e-07,1.2e-07,27,7.6568e-11
2.8e-07,1.2e-07,1.2e-07,85,1.68519e-10
2.8e-07,1.2e-07,1.2e-07,125,3.66795e-10
2.8e-07,1.6e-07,1.2e-07,-40,6.88006e-11
2.8e-07,1.6e-07,1.2e-07,0,7.30303e-11
2.8e-07,1.6e-07,1.2e-07,27,8.32458e-11
