corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.2e-07,2e-07,1.2e-07,125,1.2,2.98146e-10
tt,1.2e-07,2.4e-07,1.2e-07,-40,1,5.78725e-11
tt,1.2e-07,2.4e-07,1.2e-07,-40,1.05,6.07662e-11
tt,1.2e-07,2.4e-07,1.2e-07,-40,1.1,6.36598e-11
tt,1.2e-07,2.4e-07,1.2e-07,-40,1.15,6.65534e-11
tt,1.2e-07,2.4e-07,1.2e-07,-40,1.2,6.94471e-11
tt,1.2e-07,2.4e-07,1.2e-07,0,1,6.05397e-11
tt,1.2e-07,2.4e-07,1.2e-07,0,1.05,6.35667e-11
tt,1.2e-07,2.4e-07,1.2e-07,0,1.1,6.65937e-11
tt,1.2e-07,2.4e-07,1.2e-07,0,1.15,6.96207e-11
tt,1.2e-07,2.4e-07,1.2e-07,0,1.2,7.26477e-11
tt,1.2e-07,2.4e-07,1.2e-07,27,1,6.70321e-11
tt,1.2e-07,2.4e-07,1.2e-07,27,1.05,7.03838e-11
tt,1.2e-07,2.4e-07,1.2e-07,27,1.1,7.37354e-11
tt,1.2e-07,2.4e-07,1.2e-07,27,1.15,7.7087e-11
tt,1.2e-07,2.4e-07,1.2e-07,27,1.2,8.04386e-11
tt,1.2e-07,2.4e-07,1.2e-07,85,1,1.27182e-10
tt,1.2e-07,2.4e-07,1.2e-07,85,1.05,1.33542e-10
tt,1.2e-07,2.4e-07,1.2e-07,85,1.1,1.39901e-10
tt,1.2e-07,2.4e-07,1.2e-07,85,1.15,1.4626e-10
tt,1.2e-07,2.4e-07,1.2e-07,85,1.2,1.52619e-10
tt,1.2e-07,2.4e-07,1.2e-07,125,1,2.61124e-10
tt,1.2e-07,2.4e-07,1.2e-07,125,1.05,2.7418e-10
tt,1.2e-07,2.4e-07,1.2e-07,125,1.1,2.87237e-10
tt,1.2e-07,2.4e-07,1.2e-07,125,1.15,3.00293e-10
tt,1.2e-07,2.4e-07,1.2e-07,125,1.2,3.13349e-10
