/A X,/A Y
-0.55,1.099999926459595
-0.549,1.099999926417266
-0.548,1.099999926374776
-0.547,1.099999926332071
-0.546,1.099999926289151
-0.545,1.099999926246014
-0.544,1.099999926202659
-0.543,1.099999926159086
-0.542,1.099999926115294
-0.541,1.099999926071282
-0.54,1.099999926027048
-0.539,1.099999925982593
-0.538,1.099999925937914
-0.537,1.099999925893012
-0.536,1.099999925847884
-0.535,1.099999925802531
-0.534,1.099999925756951
-0.533,1.099999925711144
-0.532,1.099999925665107
-0.531,1.099999925618841
-0.53,1.099999925572344
-0.529,1.099999925525616
-0.528,1.099999925478655
-0.527,1.09999992543146
-0.526,1.09999992538403
-0.525,1.099999925336365
-0.524,1.099999925288462
-0.523,1.099999925240322
-0.522,1.099999925191943
-0.521,1.099999925143324
-0.52,1.099999925094464
-0.519,1.099999925045362
-0.518,1.099999924996016
-0.517,1.099999924946426
-0.516,1.099999924896591
-0.515,1.099999924846509
-0.514,1.099999924796179
-0.513,1.099999924745601
-0.512,1.099999924694772
-0.511,1.099999924643693
-0.51,1.099999924592362
-0.509,1.099999924540776
-0.508,1.099999924488937
-0.507,1.099999924436841
-0.506,1.099999924384489
-0.505,1.099999924331879
-0.504,1.099999924279009
-0.503,1.099999924225878
-0.502,1.099999924172486
-0.501,1.099999924118831
-0.5,1.099999924064912
-0.499,1.099999924010727
-0.498,1.099999923956276
-0.497,1.099999923901556
-0.496,1.099999923846568
-0.495,1.099999923791309
-0.494,1.099999923735778
-0.493,1.099999923679974
-0.492,1.099999923623896
-0.491,1.099999923567542
-0.49,1.099999923510911
-0.489,1.099999923454002
-0.488,1.099999923396813
-0.487,1.099999923339343
-0.486,1.099999923281591
-0.485,1.099999923223556
-0.484,1.099999923165235
-0.483,1.099999923106628
-0.482,1.099999923047733
-0.481,1.09999992298855
-0.48,1.099999922929075
-0.479,1.099999922869309
-0.478,1.09999992280925
-0.477,1.099999922748896
-0.476,1.099999922688246
-0.475,1.099999922627298
-0.474,1.099999922566052
-0.473,1.099999922504505
-0.472,1.099999922442656
-0.471,1.099999922380504
-0.47,1.099999922318047
-0.469,1.099999922255285
-0.468,1.099999922192214
-0.467,1.099999922128835
-0.466,1.099999922065145
-0.465,1.099999922001142
-0.464,1.099999921936827
-0.463,1.099999921872196
-0.462,1.099999921807249
-0.461,1.099999921741984
-0.46,1.099999921676398
-0.459,1.099999921610493
-0.458,1.099999921544264
-0.457,1.099999921477711
-0.456,1.099999921410832
-0.455,1.099999921343626
-0.454,1.099999921276092
-0.453,1.099999921208227
-0.452,1.09999992114003
-0.451,1.099999921071499
-0.45,1.099999921002634
-0.449,1.099999920933431
-0.448,1.099999920863891
-0.447,1.099999920794011
-0.446,1.099999920723789
-0.445,1.099999920653224
-0.444,1.099999920582314
-0.4429999999999999,1.099999920511058
-0.4419999999999999,1.099999920439455
-0.4409999999999999,1.099999920367501
-0.4399999999999999,1.099999920295197
-0.4389999999999999,1.09999992022254
-0.4379999999999999,1.099999920149528
-0.4369999999999999,1.099999920076161
-0.4359999999999999,1.099999920002435
-0.4349999999999999,1.09999991992835
-0.4339999999999999,1.099999919853905
-0.4329999999999999,1.099999919779096
-0.4319999999999999,1.099999919703923
-0.4309999999999999,1.099999919628384
-0.4299999999999999,1.099999919552477
-0.4289999999999999,1.099999919476201
-0.4279999999999999,1.099999919399554
-0.4269999999999999,1.099999919322534
-0.4259999999999999,1.09999991924514
-0.4249999999999999,1.099999919167369
-0.4239999999999999,1.099999919089221
-0.4229999999999999,1.099999919010692
