SNM1 X,SNM1 Y
1.099999926459595,7.42974776124486e-07
1.099999926417266,7.338446289359146e-07
1.099999926374776,7.248510637732508e-07
1.099999926332071,7.159963788724326e-07
1.099999926289151,7.072781253791352e-07
1.099999926246014,6.986939040349315e-07
1.099999926202659,6.90241363913444e-07
1.099999926159086,6.819182014089702e-07
1.099999926115294,6.737221590566249e-07
1.099999926071282,6.656510245286219e-07
1.099999926027048,6.577026295368424e-07
1.099999925982593,6.498748489074962e-07
1.099999925937914,6.421655995378101e-07
1.099999925893012,6.345728394235199e-07
1.099999925847884,6.270945667562433e-07
1.099999925802531,6.197288190741911e-07
1.099999925756951,6.124736722189022e-07
1.099999925711144,6.053272396032043e-07
1.099999925665107,5.982876713533579e-07
1.099999925618841,5.913531533999967e-07
1.099999925572344,5.845219067690709e-07
1.099999925525616,5.777921868075579e-07
1.099999925478655,5.711622823007208e-07
1.09999992543146,5.646305148750715e-07
1.09999992538403,5.581952382129907e-07
1.099999925336365,5.518548373109676e-07
1.099999925288462,5.456077278683903e-07
1.099999925240322,5.394523555547071e-07
1.099999925191943,5.333871953767202e-07
1.099999925143324,5.274107510678834e-07
1.099999925094464,5.215215544060959e-07
1.099999925045362,5.157181646740618e-07
1.099999924996016,5.09999168001068e-07
1.099999924946426,5.04363176855301e-07
1.099999924896591,4.988088294413689e-07
1.099999924846509,4.933347891052843e-07
1.099999924796179,4.879397439240994e-07
1.099999924745601,4.826224060624586e-07
1.099999924694772,4.773815112871529e-07
1.099999924643693,4.722158185563985e-07
1.099999924592362,4.671241094160361e-07
1.099999924540776,4.621051875765139e-07
1.099999924488937,4.571578784795117e-07
1.099999924436841,4.522810288105579e-07
1.099999924384489,4.474735060309076e-07
1.099999924331879,4.427341980328474e-07
1.099999924279009,4.380620126225958e-07
1.099999924225878,4.334558771985343e-07
1.099999924172486,4.289147382772864e-07
1.099999924118831,4.244375611614552e-07
1.099999924064912,4.200233295203062e-07
1.099999924010727,4.156710449795021e-07
1.099999923956276,4.113797268872362e-07
1.099999923901556,4.071484118297406e-07
1.099999923846568,4.029761533728306e-07
1.099999923791309,3.988620215992803e-07
1.099999923735778,3.948051029323729e-07
